Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
259358,34in Ultrawide Monitor,1,379.99,10/28/19 10:56,"609 Cherry St, Dallas, TX 75001"
259359,27in 4K Gaming Monitor,1,389.99,10/28/19 17:26,"225 5th St, Los Angeles, CA 90001"
259360,AAA Batteries (4-pack),2,2.99,10/24/19 17:20,"967 12th St, New York City, NY 10001"
259361,27in FHD Monitor,1,149.99,10/14/19 22:26,"628 Jefferson St, New York City, NY 10001"
259362,Wired Headphones,1,11.99,10/07/19 16:10,"534 14th St, Los Angeles, CA 90001"
259363,AAA Batteries (4-pack),1,2.99,10/01/19 18:55,"976 Lake St, New York City, NY 10001"
259364,Wired Headphones,1,11.99,10/29/19 11:02,"874 North St, Los Angeles, CA 90001"
259365,Lightning Charging Cable,1,14.95,10/29/19 11:19,"127 12th St, Los Angeles, CA 90001"
259366,Apple Airpods Headphones,1,150.0,10/20/19 11:52,"955 9th St, Los Angeles, CA 90001"
259367,Apple Airpods Headphones,1,150.0,10/16/19 16:19,"742 14th St, San Francisco, CA 94016"
259368,27in FHD Monitor,1,149.99,10/13/19 13:47,"960 Ridge St, Boston, MA 02215"
259369,USB-C Charging Cable,1,11.95,10/26/19 10:54,"538 Johnson St, Portland, OR 97035"
259370,20in Monitor,1,109.99,10/28/19 23:56,"528 Forest St, San Francisco, CA 94016"
259371,iPhone,1,700.0,10/26/19 12:12,"306 Main St, Los Angeles, CA 90001"
259372,Wired Headphones,1,11.99,10/17/19 11:07,"434 Madison St, San Francisco, CA 94016"
259373,27in FHD Monitor,1,149.99,10/31/19 20:15,"924 Church St, San Francisco, CA 94016"
259374,Apple Airpods Headphones,1,150.0,10/17/19 22:14,"784 6th St, Los Angeles, CA 90001"
259375,USB-C Charging Cable,1,11.95,10/10/19 08:53,"557 Forest St, San Francisco, CA 94016"
259376,27in FHD Monitor,1,149.99,10/12/19 00:03,"218 14th St, San Francisco, CA 94016"
259377,Bose SoundSport Headphones,1,99.99,10/23/19 16:49,"88 Main St, Boston, MA 02215"
259378,Lightning Charging Cable,1,14.95,10/18/19 16:45,"997 1st St, Boston, MA 02215"
259379,27in 4K Gaming Monitor,1,389.99,10/09/19 13:15,"148 Lincoln St, San Francisco, CA 94016"
259380,Apple Airpods Headphones,1,150.0,10/19/19 12:21,"424 North St, San Francisco, CA 94016"
259381,ThinkPad Laptop,1,999.99,10/25/19 08:44,"887 12th St, New York City, NY 10001"
259382,Wired Headphones,1,11.99,10/18/19 14:16,"605 Ridge St, New York City, NY 10001"
259383,Apple Airpods Headphones,1,150.0,10/13/19 12:32,"597 6th St, Los Angeles, CA 90001"
259384,ThinkPad Laptop,1,999.99,10/29/19 23:22,"383 Cedar St, Dallas, TX 75001"
259385,Lightning Charging Cable,1,14.95,10/28/19 15:28,"892 1st St, Los Angeles, CA 90001"
259386,Lightning Charging Cable,1,14.95,10/16/19 21:39,"966 Hickory St, Los Angeles, CA 90001"
259387,Bose SoundSport Headphones,1,99.99,10/01/19 13:58,"695 6th St, New York City, NY 10001"
259388,AA Batteries (4-pack),1,3.84,10/12/19 13:15,"948 Forest St, San Francisco, CA 94016"
259389,AAA Batteries (4-pack),1,2.99,10/17/19 14:14,"661 Maple St, Dallas, TX 75001"
259390,Lightning Charging Cable,1,14.95,10/08/19 12:35,"134 Cherry St, Atlanta, GA 30301"
259391,Google Phone,1,600.0,10/24/19 12:51,"374 Hill St, Dallas, TX 75001"
259392,Wired Headphones,1,11.99,10/19/19 15:26,"374 Forest St, Los Angeles, CA 90001"
